Route No,Route Name,RPTP Level of Service,RPTP Range,RPTP Revised Range,Area,Month,Boardings
67B,New Lynn To Onehunga Only,Frequent,07 - 17,06 - 15,Central,Mar 2026,18.3
68,New Lynn To Onehunga Station,Frequent,17 - 27,15 - 24,Central,Mar 2026,24.3
70,Botany To Britomart Via Panmure,Frequent,37 - 47,33 - 42,East,Mar 2026,56.9
70H,Britomart To Howick And Botany Via Ellerslie And Panmure,Night,,,East,Mar 2026,3.5
711,Howick To Panmure Via Cascades Road,Local,07 - 17,06 - 15,East,Mar 2026,24.2
712,Bucklands Beach To Panmure,Connector,17 - 27,15 - 24,East,Mar 2026,34.8
72C,"Botany And Howick To Panmure Via Chapel Rd, Cook St, And Pak",Frequent,27 - 37,24 - 33,East,Mar 2026,35.4
72M,"Botany and Howick to Panmure via Millhouse Dr, Meadowland Dr",Frequent,27 - 37,24 - 33,East,Mar 2026,37.7
72X,Botany And Howick To Britomart Express Via Panmure And Motor,Peak,37 - 47,33 - 42,East,Mar 2026,44.7
733,Botany To The Parade Via Highland Park,Local,07 - 17,06 - 15,East,Mar 2026,29.6
734,Botany To Half Moon Bay Via Highland Park,Local,07 - 17,06 - 15,East,Mar 2026,25.7
735,Botany To Half Moon Bay Via Cockle Bay And Howick,Local,07 - 17,06 - 15,East,Mar 2026,24.3
738,Maraetai to Pine Harbour via Beachlands,Local,07 - 17,06 - 15,East,Mar 2026,4.4
739,Maraetai And Beachlands To Botany Via Whitford And Ormiston,Local,07 - 17,06 - 15,East,Mar 2026,13.1
74,Onehunga To Glen Innes Via Panmure,Frequent,17 - 27,15 - 24,Central,Mar 2026,20.1
744,Panmure To St Heliers Via Glen Innes,Connector,17 - 27,15 - 24,Central,Mar 2026,22.3
747,Panmure To Glen Innes Via Stonefields,Connector,17 - 27,15 - 24,Central,Mar 2026,20.1
75,Glen Innes To Wynyard Quarter Via Remuera Rd,Frequent,27 - 37,24 - 33,Central,Mar 2026,48.8
751,Panmure To Newmarket Via Marua Rd And Remuera Rd,Local,17 - 27,15 - 24,Central,Mar 2026,24.2
755,Benson Rd To Britomart Via Portland Rd,Connector,17 - 27,15 - 24,Central,Mar 2026,27.2
76,Glen Innes To Britomart Via Orakei,Frequent,17 - 27,15 - 24,Central,Mar 2026,31.2
774,West Tamaki Rd To Britomart Via Long Dr And Tamaki Dr,Peak,27 - 37,24 - 33,Central,Mar 2026,30.7
775,Glendowie To Britomart Via Tamaki Dr,Peak,27 - 37,24 - 33,Central,Mar 2026,27.0
781,Mission Bay To Museum Via Orakei,Connector,17 - 27,15 - 24,Central,Mar 2026,22.4
782,Sylvia Park To Mission Bay Via Ellerslie And Meadowbank,Local,07 - 17,06 - 15,Central,Mar 2026,21.1
783,Eastern Bays Circuit Clockwise,Local,07 - 17,06 - 15,Central,Mar 2026,7.8
801,Bayswater Wharf To Akoranga Station Via Takapuna,Connector,17 - 27,15 - 24,North,Mar 2026,21.3
802,Bayswater To City (Mayoral Dr),Peak,27 - 37,24 - 33,North,Mar 2026,43.1
805,Devonport Wharf To Belmont Shops Via Ngataringa Rd,Local,07 - 17,06 - 15,North,Mar 2026,10.2
806,Devonport Wharf To Stanley Pt Loop,Connector,07 - 17,06 - 15,North,Mar 2026,18.6
807,Devonport Wharf To Cheltenham Loop,Connector,07 - 17,06 - 15,North,Mar 2026,21.6
814,Devonport Wharf To Akoranga Station Via Takapuna,Connector,17 - 27,15 - 24,North,Mar 2026,42.0
82,Milford To Mayoral Dr Via Takapuna,Frequent,27 - 37,24 - 33,North,Mar 2026,30.2
83,Massey University To Takapuna Via Browns Bay,Frequent,17 - 27,15 - 24,North,Mar 2026,33.3
842,Crown Hill To Smales Farm Station Via East Coast Rd,Peak,27 - 37,24 - 33,North,Mar 2026,71.4
843,Constellation Station To Akoranga Station Via Takapuna,Connector,17 - 27,15 - 24,North,Mar 2026,21.1
845,Milford To Takapuna Via North Shore Hospital,Local,07 - 17,06 - 15,North,Mar 2026,22.8
856,Albany Station To Takapuna Via Beach Rd And Milford,Connector,17 - 27,15 - 24,North,Mar 2026,25.9
861,Long Bay To Constellation Station Via Bush Rd,Connector,17 - 27,15 - 24,North,Mar 2026,31.0
865,Browns Bay To Albany Station Via Oaktree Ave,Connector,17 - 27,15 - 24,North,Mar 2026,25.0
866,Albany Stn To Newmarket Via Ponsonby And Auckland Hospital,Weekday Connector,17 - 27,15 - 24,North,Mar 2026,41.1
871,Constellation Station To Takapuna Via Forrest Hill Rd,Connector,17 - 27,15 - 24,North,Mar 2026,40.5
878,Browns Bay To Constellation Station Via and East Coast Rd,Connector,17 - 27,15 - 24,North,Mar 2026,31.4
883,Schnapper Rock To Constellation Station,Connector,07 - 17,06 - 15,North,Mar 2026,25.7
884,Constellation Station To NHIE Loop Anticlockwise,Weekday Connector,07 - 17,06 - 15,North,Mar 2026,27.2
885,Constellation Station To NHIE Loop Clockwise,Weekday Connector,07 - 17,06 - 15,North,Mar 2026,24.3
888,Albany Heights Loop,Connector,07 - 17,06 - 15,North,Mar 2026,32.1
889,Albany Station To Constellation Station Via Hugh Green Dr,Connector,07 - 17,06 - 15,North,Mar 2026,25.3
901,Smales Farm To Constellation Station Via Wairau Rd,Connector,07 - 17,06 - 15,North,Mar 2026,33.1
902,Kyle Road To Constellation Station,Connector,07 - 17,06 - 15,North,Mar 2026,17.3
906,Constellation To Smales Farm Via Windy Ridge And Archers Rd,Local,07 - 17,06 - 15,North,Mar 2026,25.2
907,Campbells Bay To Constellation Station Via Sunnynook Station,Local,07 - 17,06 - 15,North,Mar 2026,17.9
917,Birkenhead Wharf To Albany Station Via Glenfield Rd,Connector,17 - 27,15 - 24,North,Mar 2026,26.6
923,Akoranga Station To City (Mayoral Dr) Via Hillcrest,Connector,17 - 27,15 - 24,North,Mar 2026,21.9
924,Hillcrest To City (Mayoral Dr),Peak,17 - 27,15 - 24,North,Mar 2026,33.8
926,Glenfield To Akoranga Station Via Hillcrest West,Connector,07 - 17,06 - 15,North,Mar 2026,26.7
928,Northcote Point To Smales Farm Stn Via North Shore Hospital,Local,07 - 17,06 - 15,North,Mar 2026,14.1
931,Chatswood To University Of Auckland Via Customs St,Local,17 - 27,15 - 24,North,Mar 2026,31.4
933,Beach Haven Wharf To University Of Auckland Via Customs St,Local,17 - 27,15 - 24,North,Mar 2026,34.1
939,Windy Ridge To University of Auckland Via Customs St,Peak,27 - 37,24 - 33,North,Mar 2026,44.0
94,Beach Haven To Takapuna via Highbury And Northcote Shops,Frequent,17 - 27,15 - 24,North,Mar 2026,33.5
941,Beach Haven To Takapuna Via Glenfield And Smales Farm Stn,Connector,17 - 27,15 - 24,North,Mar 2026,32.7
95B,Bayview To Britomart (Lower Albert St),Frequent,27 - 37,24 - 33,North,Mar 2026,39.0
95C,Constellation Station To Britomart (Albert St) Via Glenfield,Frequent,27 - 37,24 - 33,North,Mar 2026,37.4
966,Beach Haven To Newmarket Via Ponsonby And Auckland Hospital,Weekday Connector,17 - 27,15 - 24,North,Mar 2026,24.0
97B,Beach Haven to Britomart (Lower Albert St),Frequent,27 - 37,24 - 33,North,Mar 2026,36.5
97R,Beach Haven to Britomart (Lower Albert St),Frequent,27 - 37,24 - 33,North,Mar 2026,33.0
981,Waiwera To Hibiscus Coast Station,Connector,17 - 27,15 - 24,North,Mar 2026,24.7
982,Gulf Harbour To Hibiscus Coast Station,Connector,17 - 27,15 - 24,North,Mar 2026,23.4
983,Gulf Harbour To Hibiscus Coast Station Via Vipond Rd,Local,07 - 17,06 - 15,North,Mar 2026,14.1
984,Orewa To Hibiscus Coast Station Via Maygrove,Local,07 - 17,06 - 15,North,Mar 2026,12.5
985,Orewa To Hibiscus Coast Station Via Millwater,Connector,07 - 17,06 - 15,North,Mar 2026,26.9
986,Hibiscus Coast Station To Albany Station Via Dariy Flat,Local,07 - 17,06 - 15,North,Mar 2026,15.1
988,Gulf Harbour Ferry To The Plaza Via Army Bay,Local,07 - 17,06 - 15,North,Mar 2026,7.3
989,Hibiscus Coast Station To Milldale Loop,Connector,07 - 17,06 - 15,North,Mar 2026,26.8
995,Warkworth To Hibiscus Coast Station,Rural Township,07 - 17,06 - 15,North,Mar 2026,12.1
996,Algies Bay To Warkworth Via Snells Beach,Rural Township,07 - 17,06 - 15,North,Mar 2026,9.6
997,Warkworth To Omaha Via Matakana And Pt Wells,Rural Township,07 - 17,06 - 15,North,Mar 2026,5.5
998,Wellsford To Warkworth,Rural Township,07 - 17,06 - 15,North,Mar 2026,9.1
999,Warkworth Loop,Local,,,North,Mar 2026,5.1
AIR,Airport Link Via Puhinui Station,Rapid,17 - 27,15 - 24,South,Mar 2026,17.6
CTY,Wynyard Quarter to Karangahape Rd via Queen St,Frequent,27 - 37,24 - 33,Central,Mar 2026,38.0
INN,Inner Link Anticlockwise,Frequent,27 - 37,24 - 33,Central,Mar 2026,29.2
N10,"City To Otara Via Manukau Rd, Onehunga, Mangere, Papatoetoe",Night,,,South,Mar 2026,
NX1,Albany Station To Britomart (Lower Albert St),Rapid,37 - 47,33 - 42,North,Mar 2026,91.7
NX2,Hibiscus Coast Station To Auckland Universities,Rapid,37 - 47,33 - 42,North,Mar 2026,77.5
OUT,St Lukes To Newmarket Via Wellesley St,Frequent,27 - 37,24 - 33,Central,Mar 2026,30.7
QODTAK,AT Local,On Demand,,,South,Mar 2026,3.1
TMK,Glen Innes To Britomart Via St Heliers And Tamaki Dr,Frequent,27 - 37,24 - 33,Central,Mar 2026,27.6
WX1,Northwest To City Centre Via Motorway,Rapid,17 - 27,15 - 24,West,Mar 2026,36.8
