Route No,Route Name,RPTP Level of Service,RPTP Range,RPTP Revised Range,Area,Jul 2025,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025,Jan 2026,Feb 2026,Mar 2026
751,Panmure To Newmarket Via Marua Rd And Remuera Rd,Local,17 - 27,15 - 24,Central,20.1,23.0,20.8,21.6,22.6,19.5,17.3,23.5,24.2
755,Benson Rd To Britomart Via Portland Rd,Connector,17 - 27,15 - 24,Central,18.9,21.6,19.9,21.7,24.2,19.1,18.8,26.0,27.2
76,Glen Innes To Britomart Via Orakei,Frequent,17 - 27,15 - 24,Central,22.2,26.1,23.4,24.7,25.2,18.6,22.2,30.6,31.2
774,West Tamaki Rd To Britomart Via Long Dr And Tamaki Dr,Peak,27 - 37,24 - 33,Central,22.2,24.8,24.3,24.1,25.3,22.5,23.3,30.4,30.7
775,Glendowie To Britomart Via Tamaki Dr,Peak,27 - 37,24 - 33,Central,21.8,24.0,22.1,22.1,24.1,21.0,21.4,25.2,27.0
781,Mission Bay To Museum Via Orakei,Connector,17 - 27,15 - 24,Central,16.8,20.1,17.7,19.1,21.1,15.4,14.7,23.8,22.4
782,Sylvia Park To Mission Bay Via Ellerslie And Meadowbank,Local,07 - 17,06 - 15,Central,15.2,18.1,16.3,17.8,19.3,15.1,12.5,20.7,21.1
783,Eastern Bays Circuit Clockwise,Local,07 - 17,06 - 15,Central,6.2,7.6,6.1,6.4,7.1,5.5,4.8,7.7,7.8
801,Bayswater Wharf To Akoranga Station Via Takapuna,Connector,17 - 27,15 - 24,North,17.1,20.1,18.0,19.1,19.8,14.3,15.1,20.0,21.3
802,Bayswater To City (Mayoral Dr),Peak,27 - 37,24 - 33,North,34.7,36.0,34.8,35.5,36.5,26.1,27.9,40.2,43.1
805,Devonport Wharf To Belmont Shops Via Ngataringa Rd,Local,07 - 17,06 - 15,North,6.9,7.4,8.3,7.3,8.3,8.9,8.4,7.7,10.2
806,Devonport Wharf To Stanley Pt Loop,Connector,07 - 17,06 - 15,North,13.4,14.6,13.9,14.9,16.1,13.9,13.7,18.4,18.6
807,Devonport Wharf To Cheltenham Loop,Connector,07 - 17,06 - 15,North,16.3,16.5,16.2,18.6,21.6,19.7,20.2,21.7,21.6
814,Devonport Wharf To Akoranga Station Via Takapuna,Connector,17 - 27,15 - 24,North,32.6,36.6,34.7,35.3,38.8,30.2,30.6,41.6,42.0
82,Milford To Mayoral Dr Via Takapuna,Frequent,27 - 37,24 - 33,North,23.9,26.5,24.3,25.2,26.4,21.6,23.3,27.8,30.2
83,Massey University To Takapuna Via Browns Bay,Frequent,17 - 27,15 - 24,North,27.4,29.6,28.9,29.0,30.6,27.0,25.2,30.5,33.3
842,Crown Hill To Smales Farm Station Via East Coast Rd,Peak,27 - 37,24 - 33,North,51.1,61.7,52.8,53.4,56.7,36.5,37.6,65.4,71.4
843,Constellation Station To Akoranga Station Via Takapuna,Connector,17 - 27,15 - 24,North,18.4,19.4,18.6,19.3,19.7,16.5,18.0,20.5,21.1
